"title","body","labels","assignees","milestone","project"
"Step 1 — Add Composer Classmap Autoloading","Source: plan-2 §6\nRequires: nothing\nUnlocks: everything — this is a zero-risk infrastructure step that should be done first so all subsequent code lands in the improved autoloading environment\n\nReplace the custom `AIPS_Autoloader` with a Composer-generated classmap. Run `composer dump-autoload --optimize`. Keep the existing autoloader as a fallback shim during transition.\n\nReferenced section(s):\n\n[plan-2 §6]\n## 6 — PSR-4 Autoloading via Composer\n\n### Problem\n\nThe custom `AIPS_Autoloader` performs a string transformation and a `file_exists()` check on every class load for any `AIPS_`-prefixed class. It only searches one directory (`includes/`) and cannot be extended without modifying the autoloader file. As the codebase grows (100+ classes), the flat single-directory structure becomes unwieldy and the autoloader a bottleneck.\n\n### Recommendation — Add PSR-4 autoloading to `composer.json`\n\n```json\n{\n    ""autoload"": {\n        ""psr-4"": {\n            ""AIPS\\"": ""src/""\n        }\n    }\n}\n```\n\nMigrate classes to namespaced equivalents in `src/` over time (or immediately via a single rename pass), keeping the legacy autoloader as a fallback shim during transition. Composer's generated `vendor/autoload.php` uses a precomputed classmap after `composer dump-autoload --optimize`, eliminating `file_exists()` on every class load and enabling IDE navigation through standard PSR-4 paths.\n\n**Short-term path without full namespace migration:**\n\nComposer supports classmap autoloading with no namespacing required:\n```json\n{\n    ""autoload"": {\n        ""classmap"": [""includes/""]\n    }\n}\n```\n\nThis generates a static classmap at `composer dump-autoload` time, so PHP resolves every class in O(1) hash lookup instead of two `file_exists()` calls per class.\n\n**Impact:**\n- **Performance:** Static classmap eliminates per-class filesystem hits, noticeable on sites without opcache warmup.\n- **Developer velocity:** Full IDE support (go-to-definition, auto-import), Rector/PHPStan compatibility, and compatibility with third-party tools that expect PSR-4.","","","Performance Plan","3"
"Step 2 — Centralize All `get_option()` Calls Through `AIPS_Config`","Source: plan-2 §10\nRequires: Step 1 (Composer autoloading in place)\nUnlocks: Step 10 (per-request config cache), Step 14 (split localization objects)\n\nRoute all `get_option('aips_*', ...)` calls through `AIPS_Config::get_instance()->get_option()`. Add typed accessor methods for option groups that are read together. This establishes the single point of truth needed before adding caching in Step 10.\n\nReferenced section(s):\n\n[plan-2 §10]\n## 10 — Settings Access Centralization Through `AIPS_Config`\n\n### Problem\n\n`AIPS_Config` already exists as a singleton with `get_option()` fallback to defaults. However, many classes still call `get_option()` directly, bypassing the config layer, and some classes call `get_option()` for the same key multiple times in a single method. There is no in-request cache for option reads beyond what WordPress's own `$alloptions` provides.\n\n### Recommendation — All option reads through `AIPS_Config`\n\n1. Replace all direct `get_option('aips_*', ...)` calls with `AIPS_Config::get_instance()->get_option('aips_*')`.\n2. Add a per-request resolved-values cache inside `AIPS_Config::get_option()` to skip repeated `get_option()` calls for the same key.\n3. Add typed accessor methods for option groups that are read together (AI config, retry config, rate-limit config already exist — extend this pattern to all groups).\n\n**Impact:**\n- **Developer velocity:** Refactoring a setting's key or default value requires changing one file (`AIPS_Config`) rather than grepping the entire codebase.\n- **Performance:** Reduces repeated `get_option()` calls, which do involve hash lookups and unserialize operations even with WordPress's `$alloptions` cache.","","","Performance Plan","3"
"Step 3 — Add Composite DB Indexes to `aips_notifications`","Source: plan §B3\nRequires: nothing (schema-only change, no code dependencies)\nUnlocks: Step 4 (the index must exist before the query optimization is meaningful)\n\nAdd `KEY is_read_created_at (is_read, created_at)` and `KEY dedupe_key_created_at (dedupe_key, created_at)` to `AIPS_DB_Manager::get_schema()` and apply via a versioned `AIPS_Upgrades` migration.\n\nReferenced section(s):\n\n[plan §B3]\n### B3 — Notifications table missing composite indexes for the hottest queries (Medium)\n\n**Problem:** The `aips_notifications` schema has single-column indexes on `is_read` and `created_at` separately. The two most-executed queries are:\n\n- `get_unread()`: `SELECT * WHERE is_read = 0 ORDER BY created_at DESC LIMIT 20` — uses the `is_read` key but then requires a filesort on `created_at`.\n- `was_recently_sent()`: `SELECT COUNT(*) WHERE dedupe_key = %s AND created_at >= DATE_SUB(...)` — uses the `dedupe_key` key but then applies an unindexed range filter on `created_at`.\n\n**File:** `ai-post-scheduler/includes/class-aips-db-manager.php`\n\n**Recommendation:** Add two composite indexes:\n- `KEY is_read_created_at (is_read, created_at)` — covers `get_unread` and `count_unread` with a single index scan\n- `KEY dedupe_key_created_at (dedupe_key, created_at)` — covers `was_recently_sent` with a range scan on the right side\n\nThese should be added to `AIPS_DB_Manager::get_schema()` and applied via a versioned `AIPS_Upgrades` migration.","","","Performance Plan","3"
"Step 4 — Fix Admin Bar: Gate `get_unread()` on Count and Add Cache TTL/Invalidation","Source: plan §B1, §B2\nRequires: Step 3 (indexes in place to make the guarded query fast when it does execute)\nUnlocks: Step 5 (these two changes reduce the repository's surface before the singleton wrapper is added)\n\n1. Skip `get_unread()` call when `count_unread()` returns 0.\n2. Set explicit 60-second TTL on `wp_cache_set()`.\n3. Call `wp_cache_delete()` inside `ajax_mark_read()` and `ajax_mark_all_read()`.\n\nReferenced section(s):\n\n[plan §B1]\n### B1 — Admin bar: `get_unread(20)` runs unconditionally even when count is 0 (High)\n\n**Problem:** In `AIPS_Admin_Bar::add_toolbar_node()`, `count_unread()` is fetched (and cached). Then `$this->repository->get_unread(20)` runs unconditionally — a full `SELECT *` against `aips_notifications` (including a `longtext` meta column) that fetches up to 20 rows, even when the cached count says 0. This means a `SELECT *` hits the table on every admin and frontend page load where the user has `manage_options`.\n\n**File:** `ai-post-scheduler/includes/class-aips-admin-bar.php`\n\n**Recommendation:** Gate `get_unread()` with `if ($unread_count > 0)`. When count is 0, pass an empty array directly to the rendering logic.\n\n[plan §B2]\n### B2 — Admin bar: `count_unread()` object cache has no TTL and no invalidation (High)\n\n**Problem:** `wp_cache_set($cache_key, $unread_count, 'aips_admin_bar')` is called without a TTL argument (defaults to 0 = no expiration in this request only). Without a persistent object cache (Redis/Memcached), the cache is effectively per-request and the `COUNT(*)` query runs on every page load.\n\nEven with a persistent cache, there is no invalidation when notifications are marked as read — the count badge can stay stale until the cache naturally expires.\n\n**File:** `ai-post-scheduler/includes/class-aips-admin-bar.php`\n\n**Recommendation:** Set a short explicit TTL (e.g. 30–60 seconds):\n```php\nwp_cache_set($cache_key, $unread_count, 'aips_admin_bar', 60);\n```\nAlso call `wp_cache_delete($cache_key, 'aips_admin_bar')` inside `ajax_mark_read()` and `ajax_mark_all_read()` so the badge updates immediately after user interaction.","","","Performance Plan","3"
"Step 5 — Add Static `instance()` Singletons to Stateless Infrastructure Services","Source: plan-2 §2\nRequires: Steps 1–2 (clean autoloading; `AIPS_Config` already centralized so it can serve as the reference pattern)\nUnlocks: Step 7 (container registration is trivial once the pattern exists), Step 6 (admin bar lazy-init becomes one line once the singleton exists)\n\nAdd `static instance()` factory methods to:\n- `AIPS_History_Repository`\n- `AIPS_History_Service` (default `$repository` argument becomes `AIPS_History_Repository::instance()`)\n- `AIPS_Notifications_Repository`\n- `AIPS_Logger`\n- `AIPS_Interval_Calculator`\n- `AIPS_Template_Repository`\n- `AIPS_AI_Service`\n\nReferenced section(s):\n\n[plan-2 §2]\n## 2 — Singletons for All Stateless Infrastructure Services\n\n### Problem\n\nStateless services — classes that hold no mutable per-request state — are currently constructed on demand wherever they are used. The most common offenders are `AIPS_History_Repository`, `AIPS_History_Service`, `AIPS_Notifications_Repository`, `AIPS_Logger`, `AIPS_Config`, and `AIPS_Interval_Calculator`. Each is effectively a function namespace wrapping `$wpdb` or `get_option()` calls with no state that needs to differ between callers.\n\n### Recommendation — Static `instance()` factory on each class\n\nThis is the fastest individual win and can be done class-by-class without the container (complements item 1):\n\n```php\nclass AIPS_History_Repository {\n    private static ?self $instance = null;\n\n    public static function instance(): self {\n        if (self::$instance === null) {\n            self::$instance = new self();\n        }\n        return self::$instance;\n    }\n    // ... rest unchanged\n}\n```\n\nOnce the container exists (item 1), these static factories become one-line registrations:\n```php\n$container->singleton(AIPS_History_Repository::class, fn() => new AIPS_History_Repository());\n```\n\n**Classes to add `instance()` to immediately:**\n- `AIPS_History_Repository`\n- `AIPS_History_Service` — already accepts an optional `$repository`; default should use `AIPS_History_Repository::instance()`\n- `AIPS_Notifications_Repository`\n- `AIPS_Logger`\n- `AIPS_Config` — already has `get_instance()` (the pattern is established; extend to all stateless services)\n- `AIPS_Interval_Calculator`\n- `AIPS_Template_Repository`\n- `AIPS_AI_Service`\n\n**Impact:**\n- **Performance:** Each singleton reduces object allocation from N per request to 1. For `AIPS_History_Service`, this alone eliminates ~10 allocations (and their cascading `new AIPS_History_Repository()` sub-allocations) per admin request.\n- **Developer velocity:** Removes the cognitive burden of ""which instance am I using?"" — there is always one, and any configuration or state applied to it (e.g., mock in tests) applies everywhere.","","","Performance Plan","3"
"Step 6 — Fix Admin Bar: Lazy-Init Repository for Non-Admin Users","Source: plan §B5\nRequires: Step 5 (`AIPS_Notifications_Repository::instance()` available for lazy resolution)\nUnlocks: nothing (standalone fix)\n\nMove `new AIPS_Notifications_Repository()` out of `AIPS_Admin_Bar::__construct()` into the methods that use it, resolved via `AIPS_Notifications_Repository::instance()`.\n\nReferenced section(s):\n\n[plan §B5]\n### B5 — `AIPS_Admin_Bar::__construct()` creates `AIPS_Notifications_Repository` unconditionally (Low)\n\n**Problem:** The `AIPS_Admin_Bar` constructor runs on every request (not just admin) and always allocates `new AIPS_Notifications_Repository()`. The actual capability check (`current_user_can('manage_options')`) happens later inside `add_toolbar_node()` and `enqueue_assets()`. For anonymous visitors and non-admin authenticated users, the repository object is created but never used.\n\n**File:** `ai-post-scheduler/includes/class-aips-admin-bar.php`\n\n**Recommendation:** Lazy-initialize the repository inside the methods that use it, or add a `current_user_can('manage_options')` guard in the constructor before creating the repository.","","","Performance Plan","3"
"Step 7 — Build `AIPS_Container`","Source: plan-2 §1\nRequires: Step 5 (existing singletons serve as the first registered bindings; validates the container works correctly before the complex refactors)\nUnlocks: Steps 8, 9, 11, 12, 13 (all later architectural items depend on the container being in place)\n\nImplement `class-aips-container.php` with `bind()`, `singleton()`, and `make()`. Register Step 5's singletons immediately as the first bindings:\n```php\n$c->singleton(AIPS_History_Repository::class, fn() => AIPS_History_Repository::instance());\n```\n\nReferenced section(s):\n\n[plan-2 §1]\n## 1 — Dependency Injection Container\n\n### Problem\n\nThe plugin currently wires dependencies by hand everywhere: every constructor calls `new ClassName()` for its dependencies, and those constructors call `new ClassName()` for theirs, creating deep chains of eager allocation that can't be intercepted, cached, or replaced. This pattern is the single root cause of every issue in `plan.md § A` (duplicate instantiation, cron objects on page loads, etc.).\n\nThe problem compounds at development time: because concrete classes are referenced everywhere, swapping a class (e.g., replacing `AIPS_History_Service` with a caching decorator) requires hunting down every `new AIPS_History_Service()` across the codebase. Tests that need to inject mocks must work around this via constructor optional-parameter defaults, which is already a workaround pattern visible in `AIPS_Generator`.\n\n### Recommendation — Introduce `AIPS_Container`\n\nAdd a minimal service container (`ai-post-scheduler/includes/class-aips-container.php`) that:\n\n1. Registers **bindings** — either factories (closures) or resolved instances.\n2. Supports **singleton scope** (resolved once, shared) and **transient scope** (new instance per `make()` call).\n3. Provides a static `AIPS_Container::get_instance()` accessor so any class can resolve without needing the container passed to it — useful during the migration period.\n\nA minimal implementation does not need Reflection or auto-wiring; explicit registrations are sufficient and stay readable:\n\n```php\nclass AIPS_Container {\n    private static ?self $instance = null;\n    private array $bindings  = [];\n    private array $singletons = [];\n\n    public static function get_instance(): self { ... }\n\n    /** Register a transient factory. */\n    public function bind(string $id, Closure $factory): void { ... }\n\n    /** Register a singleton factory. */\n    public function singleton(string $id, Closure $factory): void { ... }\n\n    /** Resolve a binding, constructing it if needed. */\n    public function make(string $id): mixed { ... }\n}\n```\n\n**Adoption path:**\n\n- Phase 1: Create the container. Register the most-duplicated singletons: `AIPS_History_Repository`, `AIPS_History_Service`, `AIPS_Notifications_Repository`, `AIPS_Config`.\n- Phase 2: Migrate `AI_Post_Scheduler::init()` to build controllers by calling `$container->make(AIPS_Schedule_Controller::class)` etc., so the container (not `init()`) owns the graph.\n- Phase 3: Register controllers as singletons so the admin-AJAX split (see item 3) can reuse already-resolved instances.\n\n**Impact:**\n- **Performance:** Eliminates all duplicate-instantiation bugs from `plan.md § A` structurally — a singleton binding prevents the object from ever being constructed more than once, regardless of where `make()` is called.\n- **Developer velocity:** Adding a new controller means one `singleton()` registration; its dependencies are resolved automatically from registered bindings. No more grep-and-hunt when renaming or decorating a class.","","","Performance Plan","3"
"Step 8 — Fix Frontend Taxonomy Registration","Source: plan §C1\nRequires: nothing (one-line guard, zero dependencies)\nUnlocks: nothing (standalone fix)\n\nWrap `register_taxonomy('aips_source_group', ...)` in `if (is_admin() || wp_doing_cron())`.\n\n_(This step is placed here rather than first because it is trivial and can be batched with any nearby work.)_\n\nReferenced section(s):\n\n[plan §C1]\n### C1 — `register_taxonomy('aips_source_group')` fires on every frontend page load (Medium)\n\n**Problem:** The `aips_source_group` taxonomy is registered unconditionally on `init` for all contexts (frontend + admin). It is `public => false`, `show_ui => false`, `show_in_rest => false`, `rewrite => false`. Nothing on the frontend reads or queries this taxonomy. Registering it on the frontend adds unnecessary work to every visitor request.\n\n**File:** `ai-post-scheduler/ai-post-scheduler.php`\n\n**Recommendation:** Wrap the `register_taxonomy()` call in `if (is_admin() || wp_doing_cron())` since there is no frontend use case.","","","Performance Plan","3"
"Step 9 — Fix `save_post` Meta Query Short-Circuit","Source: plan §B4\nRequires: nothing (isolated change in `AIPS_Partial_Generation_State_Reconciler`)\nUnlocks: nothing (standalone fix)\n\nReplace the three `get_post_meta()` calls with a single `metadata_exists()` fast-path check before falling through to the full check. Can be done in the same PR as Step 8.\n\nReferenced section(s):\n\n[plan §B4]\n### B4 — `AIPS_Partial_Generation_State_Reconciler`: 3 `get_post_meta()` calls on every `save_post` for non-AIPS posts (Medium)\n\n**Problem:** `on_save_post()` fires on every save of a `post`-type post. The early-out check reads three separate post meta keys to determine whether AIPS generation meta exists:\n\n```php\n$has_generation_meta = '' !== (string) get_post_meta($post_id, 'aips_post_generation_component_statuses', true)\n    || '' !== (string) get_post_meta($post_id, 'aips_post_generation_incomplete', true)\n    || '' !== (string) get_post_meta($post_id, 'aips_post_generation_had_partial', true);\n```\n\nFor ordinary posts without any AIPS metadata, WordPress won't have the meta cached at `save_post` time (no preceding read), so these can be 3 separate DB queries. Short-circuit evaluation means only 1–2 fire when a value is found, but on posts with no AIPS data the first two return empty and all 3 execute.\n\n**File:** `ai-post-scheduler/includes/class-aips-partial-generation-state-reconciler.php`\n\n**Recommendation:** Replace with a single `metadata_exists($post_id, 'aips_post_generation_component_statuses')` as the fast-path check (fastest because it only needs to confirm existence), then fall through to the full 3-key check only when it returns true. Alternatively, prime the meta cache by calling `update_meta_cache('post', array($post_id))` before the check, so all 3 reads are a single DB query instead of three.","","","Performance Plan","3"
"Step 10 — Add Per-Request Config Cache to `AIPS_Config`","Source: plan-2 §10 (cache layer), plan §D2 (prerequisite for scoped localization)\nRequires: Step 2 (all callers already going through `AIPS_Config`) + Step 7 (container in place)\nUnlocks: Step 14 (the config cache makes page-scoped option reads cheap enough that splitting localization is worthwhile)\n\nAdd a `$resolved` array cache inside `AIPS_Config::get_option()` to avoid repeated `get_option()` + `unserialize` calls for the same key within a single request.\n\nReferenced section(s):\n\n[plan-2 §10]\n## 10 — Settings Access Centralization Through `AIPS_Config`\n\n### Problem\n\n`AIPS_Config` already exists as a singleton with `get_option()` fallback to defaults. However, many classes still call `get_option()` directly, bypassing the config layer, and some classes call `get_option()` for the same key multiple times in a single method. There is no in-request cache for option reads beyond what WordPress's own `$alloptions` provides.\n\n### Recommendation — All option reads through `AIPS_Config`\n\n1. Replace all direct `get_option('aips_*', ...)` calls with `AIPS_Config::get_instance()->get_option('aips_*')`.\n2. Add a per-request resolved-values cache inside `AIPS_Config::get_option()` to skip repeated `get_option()` calls for the same key.\n3. Add typed accessor methods for option groups that are read together (AI config, retry config, rate-limit config already exist — extend this pattern to all groups).\n\n**Impact:**\n- **Developer velocity:** Refactoring a setting's key or default value requires changing one file (`AIPS_Config`) rather than grepping the entire codebase.\n- **Performance:** Reduces repeated `get_option()` calls, which do involve hash lookups and unserialize operations even with WordPress's `$alloptions` cache.\n\n[plan §D2]\n### D2 — `aipsAdminL10n` object: 50+ translation strings pushed to every plugin page (Low)\n\n**Problem:** `wp_localize_script('aips-admin-script', 'aipsAdminL10n', [...])` inlines a very large JavaScript object (50+ strings covering voices, schedules, structures, sections, onboarding wizard, AI variables, etc.) on every plugin admin page. Most of these strings are only relevant to specific pages but load everywhere, increasing every page's inline `<script>` block size.\n\n**File:** `ai-post-scheduler/includes/class-aips-admin-assets.php`\n\n**Recommendation:** Split into smaller page-specific localization objects pushed only on the relevant page. Shared strings (generic errors, confirm labels) can remain in the global object; page-specific ones (voice/schedule/structure-specific copy) should move to their respective page conditionals.","","","Performance Plan","3"
