"title","body","labels","assignees","milestone","project"
"Phase A.1 - Enable Composer classmap / classmap autoloading (Step 1)","Source: Post-Implementation Performance Roadmap - Next Plan, Phase A\nPhase: Phase A - Activate foundational infrastructure (small, low-risk PRs)\n\nObjective:\nEnsure singletons, composer autoload, and config centralization are the default runtime behavior.\n\nTasks:\n- Add classmap entry for `includes/` in `composer.json` or migrate to PSR-4.\n- Run `composer dump-autoload --optimize` in CI.\n- Make legacy `AIPS_Autoloader` a fallback shim only; add deprecation note.\n\nTests:\n- Unit / smoke tests that all classes load under composer autoload.\n\nEst. effort: 0.5 day","Performance 2 - Phase A","","Performance 2","3"
"Phase A.2 - Centralize get_option calls through `AIPS_Config` (Step 2)","Source: Post-Implementation Performance Roadmap - Next Plan, Phase A\nPhase: Phase A - Activate foundational infrastructure (small, low-risk PRs)\n\nObjective:\nEnsure singletons, composer autoload, and config centralization are the default runtime behavior.\n\nTasks:\n- Replace remaining direct `get_option('aips_*')` calls with `AIPS_Config::get_instance()->get_option()`.\n- Add typed accessor methods for option groups read together.\n\nTests:\n- Unit tests asserting `AIPS_Config::get_option` is used and returns defaults.\n\nEst. effort: 1 day","Performance 2 - Phase A","","Performance 2","3"
"Phase A.3 - Add per-request config cache (Step 10)","Source: Post-Implementation Performance Roadmap - Next Plan, Phase A\nPhase: Phase A - Activate foundational infrastructure (small, low-risk PRs)\n\nObjective:\nEnsure singletons, composer autoload, and config centralization are the default runtime behavior.\n\nTasks:\n- Ensure `AIPS_Config::get_option()` uses an internal `$resolved` array cache for the request.\n- Add unit tests asserting one `get_option()` per key per request.\n\nEst. effort: 0.5 day","Performance 2 - Phase A","","Performance 2","3"
"Phase B.1 - Ensure `instance()` factories exist where missing (Step 5)","Source: Post-Implementation Performance Roadmap - Next Plan, Phase B\nPhase: Phase B - Wire singletons, container, and lazy-init (medium complexity)\n\nObjective:\nReduce duplicate instantiations and defer work to correct contexts.\n\nTasks:\n- Implement/complete `instance()` static factories for classes in Step 5 list.\n- Use `instance()` defaults for optional constructor args where appropriate.\n\nTests:\n- Unit tests that `instance()` returns the same object.\n\nEst. effort: 1-2 days","Performance 2 - Phase B","","Performance 2","3"
"Phase B.2 - Register `AIPS_Container` bindings (Step 7)","Source: Post-Implementation Performance Roadmap - Next Plan, Phase B\nPhase: Phase B - Wire singletons, container, and lazy-init (medium complexity)\n\nObjective:\nReduce duplicate instantiations and defer work to correct contexts.\n\nTasks:\n- Ensure the container implementation is present and register core singletons:\n  - `AIPS_History_Repository`, `AIPS_History_Service`, `AIPS_Notifications_Repository`, `AIPS_Config`, `AIPS_Template_Repository`, `AIPS_Schedule_Repository`, `AIPS_AI_Service`, `AIPS_Logger`.\n- Add a small bootstrap that registers bindings early in plugin boot (but do not change boot semantics yet).\n\nTests:\n- Container unit tests: `make()` returns correct instances; singletons shared.\n\nEst. effort: 1-2 days","Performance 2 - Phase B","","Performance 2","3"
"Phase B.3 - Lazy-init admin bar and notifications repository (Steps 4 & 6)","Source: Post-Implementation Performance Roadmap - Next Plan, Phase B\nPhase: Phase B - Wire singletons, container, and lazy-init (medium complexity)\n\nObjective:\nReduce duplicate instantiations and defer work to correct contexts.\n\nTasks:\n- Make `AIPS_Admin_Bar` lazy-resolve its notifications repository (resolve in rendering hooks only).\n- Gate `get_unread()` so `get_unread()` only runs if `count_unread() > 0`.\n- Set TTL on admin bar cache (60s) and invalidate on `ajax_mark_read()` / `ajax_mark_all_read()`.\n\nTests:\n- Unit/integration tests asserting no DB read when unread count is zero and cache invalidates on mark-read.\n\nEst. effort: 1 day","Performance 2 - Phase B","","Performance 2","3"
"Phase B.4 - Lazy scheduler instantiation and cron closures (Step 6)","Source: Post-Implementation Performance Roadmap - Next Plan, Phase B\nPhase: Phase B - Wire singletons, container, and lazy-init (medium complexity)\n\nObjective:\nReduce duplicate instantiations and defer work to correct contexts.\n\nTasks:\n- Avoid instantiating schedulers on non-cron requests; bind cron hooks to closures that invoke `AIPS_Scheduler::instance()` or `container->make()` at runtime.\n\nTests:\n- Integration test verifying non-cron page loads do not instantiate scheduler.\n\nEst. effort: 1 day","Performance 2 - Phase B","","Performance 2","3"
"Phase C.1 - Implement `boot_common()`, `boot_ajax()`, `boot_admin()`, `boot_frontend()` (Step 15)","Source: Post-Implementation Performance Roadmap - Next Plan, Phase C\nPhase: Phase C - Switch runtime routing and boot dispatcher (higher risk; break into small PRs)\n\nObjective:\nReplace `init()` with `boot_*` methods and use the AJAX registry.\n\nTasks:\n- Implement context-aware bootstrap logic.\n- Boot dispatcher behind a feature flag (e.g., `aips_enable_context_boot`) for safe rollout.\n- Ensure `boot_common()` retains taxonomy/textdomain behavior but guards taxonomy on frontend.\n\nTests:\n- Integration tests for each context (cron, admin non-AJAX, admin AJAX, frontend).\n\nRollout:\n- Merge behind a flag, enable on staging, then flip default after validation.\n\nEst. effort: 2-3 days","Performance 2 - Phase C","","Performance 2","3"
"Phase C.2 - Wire `AIPS_Ajax_Registry` and `AIPS_Ajax_Response` (Step 11)","Source: Post-Implementation Performance Roadmap - Next Plan, Phase C\nPhase: Phase C - Switch runtime routing and boot dispatcher (higher risk; break into small PRs)\n\nObjective:\nReplace `init()` with `boot_*` methods and use the AJAX registry.\n\nTasks:\n- Ensure registry map covers all actions and is used by `boot_ajax()` to resolve a single controller.\n- Replace ad-hoc `wp_send_json_*` usages with `AIPS_Ajax_Response::success()` / `error()`.\n- Migrate controllers incrementally (few controllers per PR).\n\nTests:\n- End-to-end tests hitting representative AJAX endpoints and verifying JSON shape.\n\nEst. effort: 2 days (incremental)","Performance 2 - Phase C","","Performance 2","3"
"Phase D.1 - Add interfaces and update typehints (Step 12)","Source: Post-Implementation Performance Roadmap - Next Plan, Phase D\nPhase: Phase D - Interfaces, identity maps, caching decorators (structural)\n\nObjective:\nUse interfaces and add identity-map caches and optional persistent caching decorators.\n\nTasks:\n- Create interfaces for major seams and update constructors to typehint interfaces.\n- Register concrete implementations in container.\n- Maintain BC by accepting `null` and resolving via container when needed.\n\nTests:\n- Unit tests verifying classes implement interfaces and constructors accept them.\n\nEst. effort: 1-2 days","Performance 2 - Phase D","","Performance 2","3"
